,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,GFRA2,0,2.879882938,0.871,0.238,0,C-NP.MRGPRX1/GFRA2,GFRA2
2,FSTL1,0,2.545160976,0.972,0.595,0,C-NP.MRGPRX1/GFRA2,FSTL1
3,MRGPRX1,0,2.323582855,0.732,0.131,0,C-NP.MRGPRX1/GFRA2,MRGPRX1
4,OSMR,0,2.120612326,0.92,0.381,0,C-NP.MRGPRX1/GFRA2,OSMR
5,PLCB3,0,2.09561129,0.882,0.465,0,C-NP.MRGPRX1/GFRA2,PLCB3
6,SCN11A,0,2.094147101,0.973,0.661,0,C-NP.MRGPRX1/GFRA2,SCN11A
7,CDH1,0,2.058802254,0.852,0.403,0,C-NP.MRGPRX1/GFRA2,CDH1
8,FXYD6,0,2.011612478,0.911,0.44,0,C-NP.MRGPRX1/GFRA2,FXYD6
9,RGS4,0,1.890840509,0.952,0.587,0,C-NP.MRGPRX1/GFRA2,RGS4
10,ASIC3,0,1.883011763,0.683,0.333,0,C-NP.MRGPRX1/GFRA2,ASIC3
11,KCNK18,0,1.849684362,0.729,0.16,0,C-NP.MRGPRX1/GFRA2,KCNK18
12,TSPAN8,0,1.810060697,0.963,0.757,0,C-NP.MRGPRX1/GFRA2,TSPAN8
13,ANXA1,0,1.665389869,0.669,0.278,0,C-NP.MRGPRX1/GFRA2,ANXA1
14,PPM1J,0,1.645192846,0.84,0.481,0,C-NP.MRGPRX1/GFRA2,PPM1J
15,PRKCD,0,1.612514441,0.838,0.465,0,C-NP.MRGPRX1/GFRA2,PRKCD
16,IFI27,0,1.585097068,0.801,0.503,0,C-NP.MRGPRX1/GFRA2,IFI27
17,CD24,0,1.582398776,0.957,0.806,0,C-NP.MRGPRX1/GFRA2,CD24
18,THBD,0,1.580211125,0.724,0.293,0,C-NP.MRGPRX1/GFRA2,THBD
19,PITPNC1,0,1.556875471,0.817,0.408,0,C-NP.MRGPRX1/GFRA2,PITPNC1
20,AHNAK,0,1.55595578,0.895,0.565,0,C-NP.MRGPRX1/GFRA2,AHNAK
21,EDNRA,0,1.545357514,0.73,0.273,0,C-NP.MRGPRX1/GFRA2,EDNRA
22,RET,0,1.390435851,0.954,0.805,0,C-NP.MRGPRX1/GFRA2,RET
23,KCNT1,0,1.378280951,0.778,0.531,0,C-NP.MRGPRX1/GFRA2,KCNT1
24,KCNN2,0,1.362353237,0.716,0.34,0,C-NP.MRGPRX1/GFRA2,KCNN2
25,FNDC5,0,1.338804247,0.761,0.375,0,C-NP.MRGPRX1/GFRA2,FNDC5
26,LDB2,0,1.328577431,0.767,0.33,0,C-NP.MRGPRX1/GFRA2,LDB2
27,NNMT,0,1.314968437,0.486,0.169,0,C-NP.MRGPRX1/GFRA2,NNMT
28,KCNG3,0,1.273244565,0.741,0.425,0,C-NP.MRGPRX1/GFRA2,KCNG3
29,MRGPRD,0,1.266642386,0.487,0.048,0,C-NP.MRGPRX1/GFRA2,MRGPRD
30,P2RX3,0,1.262263017,0.835,0.538,0,C-NP.MRGPRX1/GFRA2,P2RX3
31,CEMIP,0,1.262071295,0.776,0.367,0,C-NP.MRGPRX1/GFRA2,CEMIP
32,CHGB,0,1.257118819,0.854,0.723,0,C-NP.MRGPRX1/GFRA2,CHGB
33,TRARG1,0,1.224425728,0.724,0.379,0,C-NP.MRGPRX1/GFRA2,TRARG1
34,PLXND1,0,1.211165069,0.865,0.577,0,C-NP.MRGPRX1/GFRA2,PLXND1
35,SYT7,0,1.205824868,0.906,0.71,0,C-NP.MRGPRX1/GFRA2,SYT7
36,OLFM1,0,1.187037345,0.962,0.888,0,C-NP.MRGPRX1/GFRA2,OLFM1
37,RGS3,0,1.17667898,0.918,0.772,0,C-NP.MRGPRX1/GFRA2,RGS3
38,LGI1,0,1.169478512,0.847,0.594,0,C-NP.MRGPRX1/GFRA2,LGI1
39,HRH1,0,1.165456471,0.828,0.421,0,C-NP.MRGPRX1/GFRA2,HRH1
40,GFRA1,0,1.153027167,0.867,0.555,0,C-NP.MRGPRX1/GFRA2,GFRA1
41,ANXA3,0,1.149124963,0.676,0.243,0,C-NP.MRGPRX1/GFRA2,ANXA3
42,PRDM8,0,1.147128213,0.697,0.342,0,C-NP.MRGPRX1/GFRA2,PRDM8
43,EPHX1,0,1.11409245,0.932,0.834,0,C-NP.MRGPRX1/GFRA2,EPHX1
44,SCG3,0,1.099551609,0.86,0.71,0,C-NP.MRGPRX1/GFRA2,SCG3
45,CADPS,0,1.076231452,0.945,0.87,0,C-NP.MRGPRX1/GFRA2,CADPS
46,CD55,0,1.070730986,0.881,0.696,0,C-NP.MRGPRX1/GFRA2,CD55
47,NECTIN1,0,1.067197172,0.789,0.545,0,C-NP.MRGPRX1/GFRA2,NECTIN1
48,NRCAM,0,1.049157117,0.967,0.904,0,C-NP.MRGPRX1/GFRA2,NRCAM
49,IGSF3,0,1.047851628,0.732,0.433,0,C-NP.MRGPRX1/GFRA2,IGSF3
50,SAMD12,0,1.045146563,0.59,0.304,0,C-NP.MRGPRX1/GFRA2,SAMD12
